Date Planted,Number of bags,Date Harvested,Grams Harvested,Temperature,Humidity
2/28/23,140,3/19/23,500,31.7,73.6
2/28/23,150,3/20/23,5200,31.7,72.2
3/13/23,70,3/21/23,3000,31.4,73.9
3/13/23,140,3/29/23,5000,31.1,75.7
3/13/23,180,3/30/23,5500,30.8,77.9
3/13/23,230,3/31/23,7000,30.6,79.5
2/28/23,230,4/3/23,6500,30.3,80.3
2/28/23,180,4/4/23,5000,30,82.4
3/15/23,170,4/5/23,4000,29.6,83.3
3/15/23,70,4/6/23,2000,29.4,83.8
3/15/23,180,4/7/23,5000,28.2,93.9
3/15/23,270,4/10/23,6500,27.1,95.7
3/13/23,290,4/11/23,8000,26.7,96.7
3/15/23,150,4/12/23,5000,26.6,97.4
3/17/23,149,4/13/23,5000,26.6,97.6
3/17/23,90,4/14/23,3000,26.4,97.6
3/17/23,210,4/15/23,6000,26.3,97.6
4/5/23,80,4/19/23,2000,26.2,97.8
4/7/23,270,4/20/23,7000,26.2,97.7
4/5/23,165,4/21/23,4000,26.3,97.2
4/7/23,211,4/24/23,6000,26.4,94.9
4/5/23,210,4/25/23,6000,26.4,94.4
4/7/23,150,4/26/23,5000,26.5,94.1
4/7/23,90,4/27/23,3000,26.6,94.1
4/7/23,124,4/28/23,3500,26.5,93.9
4/7/23,212,4/29/23,5000,26.6,94
4/27/23,113,5/19/23,2000,26.6,94
4/27/23,278,5/20/23,6500,26.6,93.9
4/27/23,132,5/22/23,2000,26.5,93.8
4/27/23,185,5/23/23,5000,26.6,94.1
4/28/23,145,5/24/23,4500,26.6,94.1
4/28/23,112,5/25/23,3000,26.5,93.9
4/28/23,107,5/26/23,3500,26.5,93.9
4/28/23,98,5/27/23,3000,26.5,93.9
5/18/23,86,6/5/23,2400,26.5,93.5
5/18/23,60,6/6/23,2000,26.4,93.6
5/18/23,45,6/7/23,750,26.4,93.9
5/19/23,55,6/8/23,1000,26.3,93.8
5/19/23,13,6/9/23,250,26.3,93.8
5/23/23,6,6/12/23,100,26.2,93.9
5/23/23,70,6/13/23,2000,26.3,94.3
5/25/23,65,6/14/23,1000,26.2,94.2
5/25/23,40,6/15/23,750,26.2,94.5
5/25/23,15,6/16/23,250,26.2,94.6
5/25/23,18,6/17/23,300,26.2,94.7
5/26/23,7,6/19/23,150,26.2,94.5
5/26/23,3,6/20/23,175,26.1,94.2
5/26/23,52,6/21/23,955,26,94.3
6/12/23,103,6/29/23,3200,26,94.5
6/12/23,152,6/30/23,5000,26,94.6
6/14/23,95,7/1/23,2500,25.9,94.7
6/14/23,130,7/3/23,3000,26,94.7
6/16/23,200,7/4/23,4500,25.9,94.5
6/16/23,75,7/5/23,1200,25.9,94.6
6/16/23,80,7/6/23,1500,26,94.8
6/30/23,180,7/7/23,4000,26,94.7
6/30/23,210,7/8/23,5000,26,94.9
7/3/23,180,7/21/23,3500,26,94.7
7/3/23,230,7/22/23,6400,25.9,95
6/30/23,50,7/24/23,800,25.9,95
7/3/23,105,7/25/23,1000,25.8,95.1
7/3/23,90,7/26/23,1000,25.8,94.9
7/5/23,235,7/27/23,6000,25.7,95.1
7/5/23,190,7/28/23,4000,25.7,95.1
7/5/23,145,7/29/23,4000,25.7,95.1
7/7/23,300,7/30/23,8000,25.7,95.1
7/7/23,115,8/1/23,2200,25.7,95.2
7/25/23,150,8/11/23,3000,25.7,95.4
7/25/23,150,8/12/23,3000,25.7,95.3
7/25/23,95,8/14/23,1000,25.7,95.3
7/25/23,100,8/15/23,1000,25.7,95.3
7/27/23,270,8/16/23,7500,25.8,95.5
7/27/23,130,8/17/23,2200,25.7,95.3
7/29/23,85,8/18/23,1000,25.7,95.4
7/29/23,90,8/19/23,1000,25.7,95.4
7/27/23,125,8/21/23,1500,25.7,95.4
7/27/23,260,8/22/23,7000,25.6,95.5
7/27/23,140,8/23/23,2000,25.7,95.6
7/29/23,210,8/24/23,4000,25.6,95.6
8/14/23,310,8/30/23,8500,25.6,95.7
8/14/23,102,8/31/23,1000,25.6,95.9
8/14/23,168,9/1/23,3000,25.6,95.9
8/16/23,130,9/2/23,1500,25.6,95.9
8/16/23,95,9/4/23,1000,25.6,95.9
8/16/23,68,9/5/23,860,25.6,95.8
8/18/23,106,9/6/23,1000,25.6,95.8
8/18/23,215,9/7/23,4000,25.5,95.9
8/28/23,260,9/11/23,6000,25.4,95.9
8/28/23,148,9/12/23,2000,25.5,95.8
8/18/23,86,9/13/23,900,25.4,95.8
8/18/23,170,9/14/23,2500,25.4,95.9
8/28/23,140,9/15/23,2000,25.4,95.9
8/28/23,180,9/16/23,5500,25.4,96
8/30/23,230,9/18/23,6200,25.4,96
8/30/23,230,9/19/23,6500,25.4,96
8/30/23,180,9/20/23,2000,25.4,96.2
9/4/23,170,9/21/23,1500,25.4,96.1
9/4/23,70,9/22/23,850,25.4,96
9/4/23,180,9/23/23,4000,25.4,96.1
9/6/23,270,9/25/23,7000,25.5,96.2
9/6/23,290,9/26/23,7500,25.5,96.3
9/8/23,83,9/27/23,900,25.6,96.5
9/8/23,60,9/28/23,800,25.7,96.4
9/8/23,100,9/29/23,1000,25.8,96.5
9/6/23,140,9/30/23,1500,25.8,96.4
9/6/23,150,10/2/23,1200,25.8,96.3
9/8/23,80,10/3/23,1000,25.9,96.3
9/25/23,280,10/11/23,7000,26,96.4
9/25/23,120,10/12/23,2000,26.2,96.3
